Gender,Age,Marital Status,At Fault Accidents,Moving Violations,Comprehensive Claims,Number of Claims,Late Payments,Payment Method,prediction(Insurance Category),confidence(High Risk - Do Not Insure),confidence(Low Risk),confidence(Moderate Risk),confidence(Potentially High Risk)
M,21,M,1,Yes,No,3,No,Credit Card,Potentially High Risk,0.0,0.0,0.0,1.0
M,42,S,0,Yes,Yes,0,No,Monthly Billing,Low Risk,0.0,1.0,0.0,0.0
F,58,S,0,Yes,Yes,0,No,Monthly Billing,Low Risk,0.0,1.0,0.0,0.0
F,55,S,0,Yes,Yes,2,Yes,Website Account,Low Risk,0.0,1.0,0.0,0.0
M,23,M,1,Yes,No,0,No,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
F,50,M,0,Yes,Yes,5,Yes,Monthly Billing,Moderate Risk,0.0,0.0,1.0,0.0
M,61,S,0,Yes,Yes,0,Yes,Credit Card,Low Risk,0.0,1.0,0.0,0.0
M,61,M,0,Yes,Yes,0,Yes,Website Account,Moderate Risk,0.0,0.0,1.0,0.0
M,23,M,1,Yes,No,5,Yes,Website Account,Potentially High Risk,0.0,0.0,0.0,1.0
M,55,S,0,Yes,Yes,0,No,Website Account,Low Risk,0.0,1.0,0.0,0.0
F,21,S,2,Yes,No,3,No,Website Account,Potentially High Risk,0.0,0.0,0.0,1.0
F,61,M,2,Yes,Yes,5,No,Monthly Billing,Potentially High Risk,0.0,0.0,0.0,1.0
M,60,M,1,Yes,Yes,0,No,Website Account,High Risk - Do Not Insure,1.0,0.0,0.0,0.0
F,46,M,0,Yes,Yes,0,Yes,Credit Card,Moderate Risk,0.0,0.0,1.0,0.0
F,53,M,0,Yes,Yes,2,Yes,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
F,67,M,0,Yes,Yes,1,No,Monthly Billing,Low Risk,0.0,1.0,0.0,0.0
F,22,S,0,Yes,No,3,No,Website Account,Moderate Risk,0.0,0.0,1.0,0.0
F,38,S,0,Yes,No,3,Yes,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
M,61,S,0,Yes,Yes,1,Yes,Monthly Billing,Moderate Risk,0.0,0.0,1.0,0.0
F,32,S,0,Yes,No,0,No,Bank Transfer,Low Risk,0.0,1.0,0.0,0.0
F,58,M,2,Yes,Yes,5,No,Credit Card,Potentially High Risk,0.0,0.0,0.0,1.0
F,36,M,0,Yes,No,3,Yes,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
F,61,M,0,Yes,Yes,1,No,Bank Transfer,Low Risk,0.0,1.0,0.0,0.0
F,24,M,2,No,No,4,Yes,Monthly Billing,Potentially High Risk,0.0,0.0,0.0,1.0
